,y_value,LFC
crRNA1289:3258-3280_CD71,0.7027125160695689,-0.1756526571852401
crRNA1656:2583-2605_CD46,0.5371048276125518,0.263075336279237
crRNA0299:319-341_CD55,0.8732223652901392,-0.8350850796713765
crRNA0555:775-797_CD46,0.5239222965004107,0.2957109222619203
crRNA0605:1608-1630_CD71,0.5688570595503325,0.1838472863100261
crRNA0327:909-931_CD71,0.9827901060211091,-2.1392389316675064
crRNA1774:4484-4506_CD71,0.626036449583024,0.0370647695772367
crRNA1410:2200-2222_CD46,0.5923662601274253,0.1243066847727449
crRNA1554:2451-2473_CD46,0.7410425323406937,-0.2935086380515457
crRNA0836:1230-1252_CD46,0.6290929502048399,0.0290016423059996
crRNA0891:1338-1360_CD46,0.7587158746834003,-0.3516258409439899
crRNA1336:2107-2129_CD46,0.6128418170000185,0.0715786872740693
crRNA1425:3621-3643_CD71,0.6371955785944063,0.0074922666058168
crRNA0371:1033-1055_CD71,0.5146139433389264,0.3187029580447532
crRNA0749:1947-1969_CD71,0.9881299837382324,-2.3716186985954057
crRNA1385:1816-1838_CD55,0.5945118712400828,0.1188234537570634
crRNA0220:265-287_CD46,0.9025872550398109,-1.0179323296042957
crRNA1043:1265-1287_CD55,0.8038390988945632,-0.5149023401341193
crRNA1194:1793-1815_CD46,0.4567782107223437,0.4616204087578873
crRNA0613:896-918_CD46,0.6815478744560677,-0.11439344425511301
crRNA1739:2393-2415_CD55,0.6435554935572176,-0.0095356848182773
crRNA0044:53-75_CD46,0.3686644979707492,0.6864428849478079
crRNA0250:265-287_CD55,0.5316083812196795,0.2766956893800011
crRNA1481:2323-2345_CD46,0.38526307197273213,0.6428618247740072
crRNA0888:2265-2287_CD71,0.7805921667400391,-0.4277534679893799
crRNA1301:3282-3304_CD71,0.6399765610712023,6.272427082437693e-05
crRNA0765:923-945_CD55,0.6592295824467846,-0.052099871879374
crRNA1114:1638-1660_CD46,0.5688776752013864,0.1837954586431801
crRNA0749:1125-1147_CD46,0.8569597169576892,-0.7490783136399661
crRNA0436:1167-1189_CD71,0.7725269059864169,-0.3990915104342241
crRNA0020:72-94_CD71,0.6567033026241611,-0.0451784233386402
crRNA0701:1067-1089_CD46,0.5959523305761086,0.1151371130225238
crRNA1837:2514-2536_CD55,0.5972583231938426,0.1117912338470439
crRNA1205:3028-3050_CD71,0.6763749563922231,-0.0997606640691737
crRNA1413:3597-3619_CD71,0.793565597461037,-0.4754967480841711
crRNA1988:2688-2710_CD55,0.6576803625406521,-0.047852443151914996
crRNA0931:1387-1409_CD46,0.9274494858093609,-1.216375391620304
crRNA0096:113-135_CD46,0.6568383399248571,-0.04554777684188
crRNA0528:595-617_CD55,0.7411685787787903,-0.293913693338867
crRNA1113:2822-2844_CD71,0.6081936535861094,0.0836314304397279
crRNA0875:1299-1321_CD46,0.6724520655515385,-0.0887451682465116
crRNA1603:2511-2533_CD46,0.6339039494909828,0.0162544400852757
crRNA0679:813-835_CD55,0.68175436949533,-0.1149801639652921
crRNA1035:2620-2642_CD71,0.6687621127383845,-0.078445378671286
crRNA1448:3669-3691_CD71,0.5558545191474161,0.2164241154311752
crRNA1684:4261-4283_CD71,0.6219465271797091,0.0478127905311442
crRNA1400:2188-2210_CD46,0.6854843571891273,-0.1256135957385279
crRNA2020:5064-5086_CD71,0.9465976677260258,-1.4179121348426202
crRNA0324:429-451_CD46,0.8237153676889746,-0.595834857719099
crRNA0435:1165-1187_CD71,0.7558539036433681,-0.3420252141852644
crRNA0187:200-222_CD55,0.8145940417758925,-0.5578642453753969
crRNA1151:2900-2922_CD71,0.6203393253686793,0.0520238413892865
crRNA0338:447-469_CD46,0.9177786550661052,-1.1327590983400229
crRNA0625:757-779_CD55,0.782081487220852,-0.4331282652028774
crRNA1928:4840-4862_CD71,0.4057537716095315,0.5900084763118308
crRNA0866:1286-1308_CD46,0.7528880156810379,-0.3321560424165605
crRNA0527:594-616_CD55,0.5877822146034724,0.1359916424058201
crRNA0557:626-648_CD55,0.7348508583867752,-0.2737664381385967
crRNA0986:2483-2505_CD71,0.8152763450975482,-0.5606536884395324
crRNA1434:2226-2248_CD46,0.7775997977003368,-0.4170330335220659
crRNA0104:116-138_CD55,0.6562548028807973,-0.0439521856253462
crRNA0762:1139-1161_CD46,0.9361549009421098,-1.3009485561984002
crRNA0293:393-415_CD46,0.8685824890086414,-0.8096375167502693
